start_north,start_east,start_tvd,start_inc,start_azi,target_north,target_east,target_tvd,target_inc,target_azi,dls_limit,inc1,inc2,inc3,azi1,azi2,azi3,md_inc1,md_inc2,md_inc3
0,0,0,0,0,0,0,1411.9622432011097,0,0,0.0032653990252556947,0.0,0.0,0.0,0.0,0.0,0.0,470.1838971030061,470.1838971030061,470.1838971030061
0,0,0,0,0,0,0,124.80322850022485,0,0,0.003511581382850368,0.0,0.0,0.0,0.0,0.0,0.0,41.60105120602442,41.60105120602442,41.60105120602442
0,0,0,0,0,0,0,450.6759315499909,0,0,0.002496994275200482,0.0,0.0,0.0,0.0,0.0,0.0,150.07225931643399,150.07225931643399,150.07225931643399
0,0,0,0,0,0,0,2234.9389015140737,0,0,0.0021837367155122583,0.0,0.0,0.0,0.0,0.0,0.0,744.2354041076741,744.2354041076741,744.2354041076741
0,0,0,0,0,0,0,2317.4327344782896,0,0,0.004073491339203189,0.0,0.0,0.0,0.0,0.0,0.0,771.7035029281161,771.7035029281161,771.671715155021
0,0,0,0,0,0,0,1236.4816449849566,0,0,0.003964915294301121,0.0,0.0,0.0,0.0,0.0,0.0,411.73682491585004,411.73682491585004,411.73682491585004
0,0,0,0,0,0,0,1043.8227778403173,0,0,0.0020349692701427547,0.0,0.0,0.0,0.0,0.0,0.0,347.60323207242294,347.60323207242294,347.60323207242294
0,0,0,0,0,0,0,2492.692702969942,0,0,0.0020348211294597997,0.0,0.0,0.0,0.0,0.0,0.0,830.0959480444251,830.0959480444251,830.0105916914458
0,0,0,0,0,0,0,952.3285439226897,0,0,0.0038166352539597335,0.0,0.0,0.0,0.0,0.0,0.0,317.1161019462719,317.1161019462719,317.1161019462719
0,0,0,0,0,0,0,1023.8206032856606,0,0,0.0027199642388366077,0.0,0.0,0.0,0.0,0.0,0.0,340.91809334295317,340.91809334295317,340.91809334295317
0,0,0,0,0,0,0,684.7668484144561,0,0,0.0036240560423369747,0.0,0.0,0.0,0.0,0.0,0.0,228.02654278219245,228.02654278219245,228.02654278219245
0,0,0,0,0,0,0,2452.3960239338176,0,0,0.0036740529630791443,0.0,0.0,0.0,0.0,0.0,0.0,816.6486726063554,816.6486726063554,816.6486726063554
0,0,0,0,0,0,0,1293.0583735824002,0,0,0.0022390844699031083,0.0,0.0,0.0,0.0,0.0,0.0,430.58886714571315,430.58886714571315,430.58886714571315
0,0,0,0,0,0,0,1337.9554566218715,0,0,0.0032199919186568947,0.0,0.0,0.0,0.0,0.0,0.0,445.5325567457854,445.5325567457854,445.5325567457854
0,0,0,0,0,0,0,1748.3860231162596,0,0,0.0039748404113860505,0.0,0.0,0.0,0.0,0.0,0.0,582.2022667226266,582.2022667226266,582.2348682274933
0,0,0,0,0,0,0,1137.9148152162943,0,0,0.003820910085502765,0.0,0.0,0.0,0.0,0.0,0.0,378.92410139487737,378.92410139487737,378.92410139487737
0,0,0,0,0,0,0,2068.5640439379786,0,0,0.0022847628427959885,0.0,0.0,0.0,0.0,0.0,0.0,688.836183791875,688.836183791875,688.836183791875
0,0,0,0,0,0,0,1922.5537394297176,0,0,0.004111296493495054,0.0,0.0,0.0,0.0,0.0,0.0,640.21665640015,640.21665640015,640.1692451696075
0,0,0,0,0,0,0,64.36648418900876,0,0,0.004042644675091603,0.0,0.0,0.0,0.0,0.0,0.0,21.455481856374472,21.455481856374472,21.455481856374472
0,0,0,0,0,0,0,664.6415659916829,0,0,0.003826935117970585,0.0,0.0,0.0,0.0,0.0,0.0,221.32766218483673,221.32766218483673,221.32766218483673
0,0,0,0,0,433.19902692947784,223.81112807300323,3554.928441873639,0,0,0.0026205611457724874,0.204394143860717,0.21490377365252117,1.5576855763758333e-07,0.4768908228254916,0.4768653742544532,6.283185307179586,1067.7480037074254,1067.5114797069532,1458.1202420045886
0,0,0,0,0,64.90157321463592,11.023880775406697,3197.5685723277497,0,0,0.0021774301228104035,0.021815601577301457,0.040935669846963,4.147825478145706e-08,0.8344100697604452,0.1120236308083921,6.283185307179586,192.5580813513207,319.7291447610066,2683.0027840289163
0,0,0,0,0,189.29975946614712,460.5949828193174,3027.0657464936457,0,0,0.0038346215607902748,0.18945503886799675,0.22870891962224038,1.3834393796178907e-07,1.1824259185327537,1.1799219822045426,6.283185307179586,319.3668921789928,1642.491213984144,1109.612592255458
0,0,0,0,0,684.5573095978531,508.76843910147204,3315.976745765403,0,0,0.0017547573154515985,0.35609058870589194,0.43103250651906894,1.4824491328568957e-07,0.6350685158342922,0.6407930196467329,0.0,583.6252929970101,821.3993893924043,2045.6644585897595
0,0,0,0,0,27.296194147143627,658.3262399485511,2538.7236188228685,0,0,0.002576838681466552,0.4189152282737262,0.35156076168598016,0.0,1.5293588880873807,1.5293531541517897,0.0,1411.6855427854916,756.1896262690112,474.5076144409405
0,0,0,0,0,50.841080502172815,293.488365626267,3255.3179542839384,0,0,0.0032889064842875244,0.0,0.2779645526307559,3.5678751796002364e-08,6.1112252112683745,1.39926836436855,0.0,1127.0876997195865,700.3339160889595,1452.278182254903
